TIME_PERIOD,OBS_VALUE
2017-S1,681.116
2017-S2,642.462
2018-S1,723.981
2018-S2,732.790
2019-S1,811.016
2019-S2,776.211
2020-S1,845.880
2020-S2,820.241
2021-S1,750.752
2021-S2,729.138
2022-S1,724.393
2022-S2,751.655
2023-S1,674.921
2023-S2,614.013
2024-S1,639.753
2024-S2,623.873
2025-S1,598.605
2025-S2,603.685
2015-S1,535879.460
2015-S2,579094.914
2016-S1,526855.184
2016-S2,594723.355
2017-S1,597914.730
2017-S2,708394.952
2018-S1,734910.253
2018-S2,703159.473
2019-S1,694051.268
2019-S2,748511.849
2020-S1,653315.190
2020-S2,753090.334
2021-S1,743512.690
2021-S2,941256.290
2022-S1,772292.807
2022-S2,804512.892
2023-S1,916117.090
2023-S2,1036119.584
2024-S1,1095959.957
2024-S2,1174857.505
2025-S1,1384829.104
2025-S2,1649716.705
2015-S1,22814.000
2015-S2,36280.000
2016-S1,40845.000
2016-S2,31409.000
2017-S1,30219.000
2017-S2,31445.000
2018-S1,31781.000
2018-S2,46273.000
2019-S1,55150.000
2019-S2,49230.000
2020-S1,31166.000
2020-S2,29179.000
2021-S1,12163.000
2021-S2,13388.000
2022-S1,19684.000
2022-S2,15048.000
2023-S1,14656.000
2023-S2,9796.000
2024-S1,8754.000
2024-S2,10166.000
2025-S1,15765.000
2025-S2,15280.000
2015-S1,4534.978
2015-S2,4564.666
2016-S1,4154.755
2016-S2,2754.584
2017-S1,3027.739
2017-S2,2731.487
2018-S1,2468.090
2018-S2,2301.855
2019-S1,2404.439
2019-S2,2642.244
2020-S1,2352.566
2020-S2,2170.169
2021-S1,2371.170
2021-S2,2605.865
2022-S1,3131.959
2022-S2,3104.340
2023-S1,4260.620
2023-S2,4250.790
2024-S1,4334.976
2024-S2,4465.302
2025-S1,4543.268
2025-S2,4557.354
2015-S1,258842.037
2015-S2,190564.477
2016-S1,142093.831
2016-S2,167017.941
2017-S1,180825.056
2017-S2,187427.167
2018-S1,227870.316
2018-S2,263759.456
2019-S1,298451.789
2019-S2,254454.437
2020-S1,269446.658
2020-S2,314970.482
2021-S1,364910.579
2021-S2,349293.516
2022-S1,325721.771
2022-S2,374028.588
2023-S1,365112.422
2023-S2,375994.243
2024-S1,403851.507
2024-S2,475375.854
2025-S1,589369.039
2025-S2,600082.434
2015-S1,4504818.534
2015-S2,4184649.467
2016-S1,4392372.310
2016-S2,4338833.483
2017-S1,4912269.945
2017-S2,5135969.355
2018-S1,4519175.558
2018-S2,4444633.526
2019-S1,4217014.286
2019-S2,4239044.118
2020-S1,5294568.219
2020-S2,5222112.804
2021-S1,5615405.639
2021-S2,5463082.477
2022-S1,6128750.888
2022-S2,6715795.941
2023-S1,6948660.253
2023-S2,5591068.943
2024-S1,6115326.682
2024-S2,6322271.799
2025-S1,7678062.528
2025-S2,7721192.438
2015-S1,1512025.000
2015-S2,1373614.000
2016-S1,1202153.000
2016-S2,1100966.000
2017-S1,1099680.000
2017-S2,1045832.000
2018-S1,943078.000
2018-S2,944930.000
2019-S1,862214.000
2019-S2,859532.000
2020-S1,926967.000
2020-S2,934819.000
2021-S1,985014.000
2021-S2,1022414.000
2022-S1,1034249.000
2022-S2,1143542.000
2023-S1,1123742.000
2023-S2,1142933.000
2024-S1,1168703.000
2024-S2,1115376.000
2025-S1,1312926.000
2025-S2,1402353.000
2015-S1,12825.369
2015-S2,13689.132
2016-S1,11915.331
2016-S2,10033.031
2017-S1,10561.353
2017-S2,8626.206
2018-S1,8253.395
2018-S2,4608.111
2019-S1,5075.104
2019-S2,4306.051
2020-S1,4717.791
2020-S2,4718.000
2021-S1,3051.394
2021-S2,2818.143
2022-S1,5153.946
2022-S2,4284.631
2023-S1,3803.397
2023-S2,5285.130
2024-S1,4097.394
2024-S2,5101.661
2025-S1,8040.614
2025-S2,4767.364
2015-S1,307044.020
2015-S2,295873.514
2016-S1,326610.595
2016-S2,325394.304
2017-S1,287954.263
2017-S2,324178.594
2018-S1,281299.104
2018-S2,262839.094
2019-S1,282275.066
2019-S2,261003.501
2020-S1,233742.024
2020-S2,256843.848
2021-S1,232100.490
2021-S2,217991.982
2022-S1,197445.332
2022-S2,208667.088
2023-S1,177504.728
2023-S2,184602.138
2024-S1,167833.070
2024-S2,156477.921
2025-S1,196766.200
2025-S2,181826.973
2019-S1,11.000
2019-S2,NaN
2020-S1,NaN
2020-S2,NaN
2021-S1,NaN
2021-S2,NaN
2022-S1,NaN
2022-S2,NaN
2023-S1,5.000
2023-S2,NaN
2024-S1,NaN
2024-S2,NaN
2025-S1,NaN
2025-S2,2.000
2015-S1,4358484.705
2015-S2,5242266.026
2016-S1,3020140.666
2016-S2,3108048.325
2017-S1,3694529.800
2017-S2,4065045.466
2018-S1,3618221.997
2018-S2,3551929.999
2019-S1,3592355.536
2019-S2,3442333.694
2020-S1,3654689.952
2020-S2,3613089.341
2021-S1,3518165.356
2021-S2,3400562.705
2022-S1,3492155.346
2022-S2,3415343.075
2023-S1,3979107.923
2023-S2,3849118.338
2024-S1,3981982.675
2024-S2,4394576.653
2025-S1,5091823.895
2025-S2,5548082.644
2015-S1,910126.000
2015-S2,816995.000
2016-S1,759737.000
2016-S2,485886.000
2017-S1,371337.000
2017-S2,281581.000
2018-S1,252125.000
2018-S2,182883.000
2019-S1,174536.000
2019-S2,151464.000
2020-S1,152559.000
2020-S2,126792.000
2021-S1,99810.000
2021-S2,110055.000
2022-S1,119707.000
2022-S2,111026.000
2023-S1,128759.000
2023-S2,126665.000
2024-S1,134419.000
2024-S2,114888.000
2025-S1,131419.000
2025-S2,105808.000
2015-S1,8815.000
2015-S2,11369.000
2016-S1,5580.000
2016-S2,8039.000
2017-S1,5948.000
2017-S2,7491.000
2018-S1,4583.000
2018-S2,5650.000
2019-S1,4690.000
2019-S2,4103.000
2020-S1,3901.000
2020-S2,4145.000
2021-S1,6478.000
2021-S2,8431.000
2022-S1,10461.000
2022-S2,12057.000
2023-S1,13864.000
2023-S2,13117.000
2024-S1,10878.000
2024-S2,12518.000
2025-S1,13810.000
2025-S2,14302.000
2015-S1,171061.000
2015-S2,166587.000
2016-S1,153349.000
2016-S2,244588.000
2017-S1,250077.000
2017-S2,237190.000
2018-S1,215535.000
2018-S2,249587.000
2019-S1,240821.000
2019-S2,255541.000
2020-S1,264988.000
2020-S2,210449.000
2021-S1,201936.000
2021-S2,186020.000
2022-S1,185114.000
2022-S2,202658.000
2023-S1,185726.000
2023-S2,172491.000
2024-S1,170928.000
2024-S2,167062.000
2025-S1,454889.000
2025-S2,196596.000
2015-S1,87244.000
2015-S2,63231.192
2016-S1,57522.569
2016-S2,57731.312
2017-S1,41228.147
2017-S2,35212.500
2018-S1,33839.968
2018-S2,30670.576
2019-S1,26955.328
2019-S2,24161.362
2020-S1,28372.116
2020-S2,25111.834
2021-S1,23365.933
2021-S2,26280.022
2022-S1,47704.740
2022-S2,36634.299
2023-S1,40113.435
2023-S2,37741.276
2024-S1,55378.584
2024-S2,45794.921
2025-S1,34174.426
2025-S2,45257.734
2015-S1,3158981.500
2015-S2,2575258.000
2016-S1,2448909.000
2016-S2,2166059.000
2017-S1,2205102.000
2017-S2,2186500.000
2018-S1,1737221.500
2018-S2,1538897.500
2019-S1,1551739.000
2019-S2,1611656.500
2020-S1,1854023.500
2020-S2,1816081.000
2021-S1,1980620.000
2021-S2,2212696.000
2022-S1,2069443.500
2022-S2,2393500.500
2023-S1,2130948.500
2023-S2,2347817.500
2024-S1,2432652.000
2024-S2,2560213.500
2025-S1,3098141.000
2025-S2,3347877.500
2016-S1,243.044
2016-S2,173.023
2017-S1,145.953
2017-S2,126.081
2018-S1,118.831
2018-S2,111.190
2019-S1,89.638
2019-S2,92.315
2020-S1,112.204
2020-S2,113.371
2021-S1,91.635
2021-S2,90.357
2022-S1,17.221
2022-S2,26.503
2023-S1,20.742
2023-S2,22.193
2024-S1,18.073
2024-S2,22.766
2025-S1,59.253
2025-S2,56.586
2015-S1,279372.286
2015-S2,285668.710
2016-S1,217956.248
2016-S2,167666.351
2017-S1,151980.457
2017-S2,129846.490
2018-S1,117903.775
2018-S2,104958.207
2019-S1,101449.871
2019-S2,98869.254
2020-S1,92172.374
2020-S2,76909.781
2021-S1,71485.217
2021-S2,78378.050
2022-S1,108510.427
2022-S2,72250.029
2023-S1,76241.983
2023-S2,75112.550
2024-S1,77045.487
2024-S2,81162.020
2025-S1,124737.871
2025-S2,132594.295
2015-S1,90847.000
2015-S2,83289.000
2016-S1,77215.000
2016-S2,63160.000
2017-S1,63463.000
2017-S2,60135.000
2018-S1,48812.000
2018-S2,44552.000
2019-S1,34694.000
2019-S2,30293.000
2020-S1,27933.000
2020-S2,27340.000
2021-S1,41722.000
2021-S2,47496.000
2022-S1,43205.000
2022-S2,42184.000
2023-S1,47446.000
2023-S2,44695.000
2024-S1,47542.000
2024-S2,46299.000
2025-S1,51317.000
2025-S2,63836.000
2015-S1,542.050
2015-S2,440.715
2016-S1,454.886
2016-S2,421.301
2017-S1,442.012
2017-S2,414.963
2018-S1,430.365
2018-S2,442.064
2019-S1,461.731
2019-S2,434.312
2020-S1,462.240
2020-S2,467.244
2021-S1,528.422
2021-S2,530.899
2022-S1,552.611
2022-S2,515.888
2023-S1,600.315
2023-S2,566.642
2024-S1,584.240
2024-S2,548.512
2025-S1,550.076
2025-S2,516.401
2015-S1,90597.129
2015-S2,86002.651
2016-S1,94648.362
2016-S2,57868.900
2017-S1,34549.378
2017-S2,36201.382
2018-S1,42013.237
2018-S2,46682.300
2019-S1,53289.387
2019-S2,57147.072
2020-S1,52782.972
2020-S2,49896.037
2021-S1,47202.863
2021-S2,50198.440
2022-S1,43872.868
2022-S2,31881.821
2023-S1,34167.742
2023-S2,39430.609
2024-S1,38165.155
2024-S2,29860.987
