date,EURIBOR 3 mois,EURIBOR 6 mois,EUR/USD mensuel,EUR/GBP mensuel,EUR/JPY mensuel
2017-08,-0.329087,-0.2716522,1.1806739130435,0.9112073913043,129.7034782608696
2017-09,-0.329381,-0.272619,1.1914571428571,0.894700952381,131.9238095238095
2017-10,-0.3295455,-0.2739091,1.1755863636364,0.8907140909091,132.7631818181818
2017-11,-0.329,-0.2742727,1.1738,0.887945,132.3918181818182
2017-12,-0.3278947,-0.2713684,1.1836210526316,0.8826489473684,133.6384210526316
2018-01,-0.3284545,-0.2741818,1.21995,0.8833113636364,135.2545454545455
2018-02,-0.3285,-0.2749,1.23478,0.883964,133.293
2018-03,-0.3279048,-0.2713333,1.233619047619,0.8828704761905,130.857619047619
2018-04,-0.32845,-0.2702,1.22763,0.8721215,132.1575
2018-05,-0.3252273,-0.27,1.1812227272727,0.8772577272727,129.5722727272727
2018-06,-0.3220476,-0.2685238,1.1678285714286,0.8788604761905,128.5290476190476
2018-07,-0.3207273,-0.2691818,1.1685727272727,0.887255,130.2322727272727
2018-08,-0.319,-0.2667826,1.1548956521739,0.8968686956522,128.2004347826087
2018-09,-0.31885,-0.26825,1.16587,0.892807,130.535
2018-10,-0.3176957,-0.2640435,1.1484043478261,0.8827208695652,129.6165217391305
2018-11,-0.3163636,-0.2565909,1.1366863636364,0.8811813636364,128.7886363636363
2018-12,-0.3118947,-0.2408421,1.1384210526316,0.8977415789474,127.8778947368421
2019-01,-0.308,-0.2363636,1.1416409090909,0.8860295454545,124.3413636363637
2019-02,-0.30845,-0.2318,1.135115,0.872637,125.28
2019-03,-0.3091905,-0.2302381,1.1302476190476,0.8582204761905,125.6738095238095
2019-04,-0.31045,-0.23075,1.123825,0.8617895,125.436
2019-05,-0.3118636,-0.2373636,1.1184590909091,0.8717581818182,122.9481818181818
2019-06,-0.3289,-0.279,1.12934,0.891073,122.0805
2019-07,-0.3648696,-0.3473913,1.1218391304348,0.8994204347826,121.405652173913
2019-08,-0.4076818,-0.4049545,1.1126227272727,0.9155377272727,118.1790909090909
2019-09,-0.4175714,-0.3938571,1.1003904761905,0.8909161904762,118.2419047619048
2019-10,-0.4128696,-0.3615652,1.1052565217391,0.8753856521739,119.5113043478261
2019-11,-0.4012857,-0.337381,1.1050952380952,0.857609047619,120.3376190476191
2019-12,-0.3947,-0.33555,1.111345,0.8473075,121.241
2020-01,-0.3911364,-0.3300909,1.1100363636364,0.8492727272727,121.3627272727273
2020-02,-0.40885,-0.35525,1.0905,0.840946,120.0255
2020-03,-0.4166364,-0.3648636,1.1063409090909,0.8945954545455,118.8972727272727
2020-04,-0.25405,-0.192,1.08619,0.875469,116.97
2020-05,-0.27195,-0.14305,1.090185,0.886853,116.867
2020-06,-0.376,-0.2226818,1.1254590909091,0.8987813636364,121.1204545454546
2020-07,-0.4441304,-0.3461304,1.1463391304348,0.9046669565217,122.3804347826087
2020-08,-0.4797143,-0.4329048,1.1828095238095,0.900809047619,125.4038095238095
2020-09,-0.4913636,-0.4626364,1.1792409090909,0.9094740909091,124.5013636363637
2020-10,-0.5091364,-0.494,1.1775181818182,0.9074113636364,123.8890909090909
2020-11,-0.5208571,-0.509,1.1837904761905,0.8960533333333,123.6095238095238
2020-12,-0.5380909,-0.5186364,1.2169727272727,0.9062440909091,126.2781818181818
2021-01,-0.54715,-0.5285,1.217085,0.892665,126.308
2021-02,-0.5411,-0.5205,1.20979,0.8726825,127.4925
2021-03,-0.539087,-0.516,1.1899086956522,0.858732173913,129.3804347826087
2021-04,-0.53815,-0.5158,1.19791,0.8652685,130.489
2021-05,-0.5400952,-0.513,1.2145904761905,0.8625833333333,132.5690476190476
2021-06,-0.5429091,-0.5149545,1.2047090909091,0.8587204545455,132.6313636363636
2021-07,-0.5448182,-0.5159545,1.1821818181818,0.8561304545455,130.3490909090909
2021-08,-0.5475909,-0.5273636,1.1771818181818,0.8528736363636,129.2840909090909
2021-09,-0.5450455,-0.5224091,1.1770318181818,0.8568331818182,129.6563636363636
2021-10,-0.5498095,-0.5272381,1.1601476190476,0.8469442857143,131.2123809523809
2021-11,-0.5673636,-0.534,1.1414045454545,0.8478636363636,130.1177272727273
2021-12,-0.5819565,-0.5446087,1.1303782608696,0.8487482608696,128.7995652173913
2022-01,-0.5601429,-0.5273333,1.1314476190476,0.8350338095238,130.0090476190476
2022-02,-0.5315,-0.47615,1.13419,0.8378725,130.6565
2022-03,-0.4954348,-0.4176522,1.1018956521739,0.8363826086957,130.7108695652174
2022-04,-0.4478947,-0.3108947,1.0818736842105,0.83655,136.6063157894737
2022-05,-0.3857273,-0.1436364,1.05785,0.849685,136.2409090909091
2022-06,-0.2392273,0.1616818,1.0565818181818,0.8575909090909,141.5686363636364
2022-07,0.036619,0.4664762,1.0178904761905,0.8495528571429,139.1738095238096
